layer,from_token,to_token,attention_score
4,rete,rete,0.031005
4,rete,·mathematics,0.0
4,rete,·is,0.0
4,rete,·essential,0.0
4,rete,·for,0.0
4,rete,·programming,0.0
4,rete,.,0.0
4,·mathematics,Disc,0.678473
4,·mathematics,rete,0.247334
4,·mathematics,·mathematics,0.074193
4,·mathematics,·is,0.0
4,·mathematics,·essential,0.0
4,·mathematics,·for,0.0
4,·mathematics,·programming,0.0
4,·mathematics,.,0.0
4,·is,Disc,0.682205
4,·is,rete,0.100257
4,·is,·mathematics,0.140482
4,·is,·is,0.077056
4,·is,·essential,0.0
4,·is,·for,0.0
4,·is,·programming,0.0
4,·is,.,0.0
4,·essential,Disc,0.558749
4,·essential,rete,0.032964
4,·essential,·mathematics,0.054515
4,·essential,·is,0.208206
4,·essential,·essential,0.145566
4,·essential,·for,0.0
4,·essential,·programming,0.0
4,·essential,.,0.0
4,·for,Disc,0.467677
4,·for,rete,0.022261
4,·for,·mathematics,0.039025
4,·for,·is,0.095811
4,·for,·essential,0.252299
4,·for,·for,0.122928
4,·for,·programming,0.0
4,·for,.,0.0
4,·programming,Disc,0.526383
4,·programming,rete,0.025774
4,·programming,·mathematics,0.025749
4,·programming,·is,0.052468
4,·programming,·essential,0.069975
4,·programming,·for,0.177266
4,·programming,·programming,0.122385
4,·programming,.,0.0
4,.,Disc,0.435347
4,.,rete,0.025915
4,.,·mathematics,0.028314
4,.,·is,0.086309
4,.,·essential,0.068667
4,.,·for,0.094982
4,.,·programming,0.162613
4,.,.,0.097853
5,Disc,Disc,1.0
5,Disc,rete,0.0
5,Disc,·mathematics,0.0
5,Disc,·is,0.0
5,Disc,·essential,0.0
5,Disc,·for,0.0
5,Disc,·programming,0.0
5,Disc,.,0.0
5,rete,Disc,0.96353
5,rete,rete,0.03647
5,rete,·mathematics,0.0
5,rete,·is,0.0
5,rete,·essential,0.0
5,rete,·for,0.0
5,rete,·programming,0.0
5,rete,.,0.0
5,·mathematics,Disc,0.649781
5,·mathematics,rete,0.242027
5,·mathematics,·mathematics,0.108192
5,·mathematics,·is,0.0
5,·mathematics,·essential,0.0
5,·mathematics,·for,0.0
5,·mathematics,·programming,0.0
5,·mathematics,.,0.0
5,·is,Disc,0.715295
5,·is,rete,0.062813
5,·is,·mathematics,0.168132
5,·is,·is,0.053759
5,·is,·essential,0.0
5,·is,·for,0.0
5,·is,·programming,0.0
5,·is,.,0.0
5,·essential,Disc,0.595177
5,·essential,rete,0.026353
5,·essential,·mathematics,0.080901
5,·essential,·is,0.186464
5,·essential,·essential,0.111104
5,·essential,·for,0.0
5,·essential,·programming,0.0
5,·essential,.,0.0
5,·for,Disc,0.537425
5,·for,rete,0.02313
5,·for,·mathematics,0.070949
5,·for,·is,0.065334
5,·for,·essential,0.219383
5,·for,·for,0.083779
5,·for,·programming,0.0
5,·for,.,0.0
5,·programming,Disc,0.603062
5,·programming,rete,0.010358
5,·programming,·mathematics,0.015564
5,·programming,·is,0.022619
5,·programming,·essential,0.041002
5,·programming,·for,0.233963
5,·programming,·programming,0.073432
5,·programming,.,0.0
5,.,Disc,0.528047
5,.,rete,0.012228
5,.,·mathematics,0.02214
5,.,·is,0.041308
5,.,·essential,0.051102
5,.,·for,0.11691
5,.,·programming,0.137267
5,.,.,0.090997
6,Disc,Disc,1.0
6,Disc,rete,0.0
6,Disc,·mathematics,0.0
6,Disc,·is,0.0
6,Disc,·essential,0.0
6,Disc,·for,0.0
6,Disc,·programming,0.0
6,Disc,.,0.0
6,rete,Disc,0.976412
6,rete,rete,0.023588
6,rete,·mathematics,0.0
6,rete,·is,0.0
6,rete,·essential,0.0
6,rete,·for,0.0
6,rete,·programming,0.0
6,rete,.,0.0
6,·mathematics,Disc,0.855881
6,·mathematics,rete,0.106243
6,·mathematics,·mathematics,0.037876
6,·mathematics,·is,0.0
6,·mathematics,·essential,0.0
6,·mathematics,·for,0.0
6,·mathematics,·programming,0.0
6,·mathematics,.,0.0
6,·is,Disc,0.832066
6,·is,rete,0.027413
6,·is,·mathematics,0.078009
6,·is,·is,0.062512
6,·is,·essential,0.0
6,·is,·for,0.0
6,·is,·programming,0.0
6,·is,.,0.0
6,·essential,Disc,0.792187
6,·essential,rete,0.018104
6,·essential,·mathematics,0.034034
6,·essential,·is,0.105845
6,·essential,·essential,0.04983
6,·essential,·for,0.0
6,·essential,·programming,0.0
6,·essential,.,0.0
6,·for,Disc,0.729128
6,·for,rete,0.016106
6,·for,·mathematics,0.028376
6,·for,·is,0.075003
6,·for,·essential,0.081822
6,·for,·for,0.069564
6,·for,·programming,0.0
6,·for,.,0.0
6,·programming,Disc,0.784296
6,·programming,rete,0.016883
6,·programming,·mathematics,0.01783
6,·programming,·is,0.058424
6,·programming,·essential,0.031297
6,·programming,·for,0.053895
6,·programming,·programming,0.037374
6,·programming,.,0.0
6,.,Disc,0.711925
6,.,rete,0.016051
6,.,·mathematics,0.024992
6,.,·is,0.049022
6,.,·essential,0.045145
6,.,·for,0.050363
6,.,·programming,0.043829
6,.,.,0.058673
7,Disc,Disc,1.0
7,Disc,rete,0.0
7,Disc,·mathematics,0.0
7,Disc,·is,0.0
7,Disc,·essential,0.0
7,Disc,·for,0.0
7,Disc,·programming,0.0
7,Disc,.,0.0
7,rete,Disc,0.967566
7,rete,rete,0.032434
7,rete,·mathematics,0.0
7,rete,·is,0.0
7,rete,·essential,0.0
7,rete,·for,0.0
7,rete,·programming,0.0
7,rete,.,0.0
7,·mathematics,Disc,0.878524
7,·mathematics,rete,0.068881
7,·mathematics,·mathematics,0.052595
7,·mathematics,·is,0.0
7,·mathematics,·essential,0.0
7,·mathematics,·for,0.0
7,·mathematics,·programming,0.0
7,·mathematics,.,0.0
7,·is,Disc,0.778474
7,·is,rete,0.060105
7,·is,·mathematics,0.112922
7,·is,·is,0.048498
7,·is,·essential,0.0
7,·is,·for,0.0
7,·is,·programming,0.0
7,·is,.,0.0
7,·essential,Disc,0.75781
7,·essential,rete,0.034281
7,·essential,·mathematics,0.07105
7,·essential,·is,0.085647
7,·essential,·essential,0.051211
7,·essential,·for,0.0
7,·essential,·programming,0.0
7,·essential,.,0.0
7,·for,Disc,0.667802
7,·for,rete,0.034584
7,·for,·mathematics,0.082625
7,·for,·is,0.077245
7,·for,·essential,0.082056
7,·for,·for,0.055688
7,·for,·programming,0.0
7,·for,.,0.0
7,·programming,Disc,0.769885
7,·programming,rete,0.012661
7,·programming,·mathematics,0.029753
7,·programming,·is,0.030789
7,·programming,·essential,0.019749
7,·programming,·for,0.090656
7,·programming,·programming,0.046507
7,·programming,.,0.0
7,.,Disc,0.665407
7,.,rete,0.026244
7,.,·mathematics,0.047231
7,.,·is,0.041836
7,.,·essential,0.051941
7,.,·for,0.05276
7,.,·programming,0.052099
7,.,.,0.062482
8,Disc,Disc,1.0
8,Disc,rete,0.0
8,Disc,·mathematics,0.0
8,Disc,·is,0.0
8,Disc,·essential,0.0
8,Disc,·for,0.0
8,Disc,·programming,0.0
8,Disc,.,0.0
8,rete,Disc,0.970002
8,rete,rete,0.029998
8,rete,·mathematics,0.0
8,rete,·is,0.0
8,rete,·essential,0.0
8,rete,·for,0.0
8,rete,·programming,0.0
8,rete,.,0.0
8,·mathematics,Disc,0.903195
8,·mathematics,rete,0.056535
8,·mathematics,·mathematics,0.04027
8,·mathematics,·is,0.0
8,·mathematics,·essential,0.0
8,·mathematics,·for,0.0
8,·mathematics,·programming,0.0
8,·mathematics,.,0.0
8,·is,Disc,0.865001
8,·is,rete,0.023112
8,·is,·mathematics,0.086931
8,·is,·is,0.024956
8,·is,·essential,0.0
8,·is,·for,0.0
8,·is,·programming,0.0
8,·is,.,0.0
8,·essential,Disc,0.839862
8,·essential,rete,0.014293
8,·essential,·mathematics,0.059397
8,·essential,·is,0.060153
8,·essential,·essential,0.026295
8,·essential,·for,0.0
8,·essential,·programming,0.0
8,·essential,.,0.0
8,·for,Disc,0.79765
8,·for,rete,0.017311
8,·for,·mathematics,0.061341
8,·for,·is,0.048181
8,·for,·essential,0.038429
8,·for,·for,0.037087
8,·for,·programming,0.0
8,·for,.,0.0
8,·programming,Disc,0.817329
8,·programming,rete,0.007463
8,·programming,·mathematics,0.019032
8,·programming,·is,0.026933
8,·programming,·essential,0.016679
8,·programming,·for,0.077245
8,·programming,·programming,0.03532
8,·programming,.,0.0
8,.,Disc,0.76908
8,.,rete,0.016532
8,.,·mathematics,0.0329
8,.,·is,0.026741
8,.,·essential,0.03635
8,.,·for,0.040396
8,.,·programming,0.0464
8,.,.,0.031602
9,Disc,Disc,1.0
9,Disc,rete,0.0
9,Disc,·mathematics,0.0
9,Disc,·is,0.0
9,Disc,·essential,0.0
9,Disc,·for,0.0
9,Disc,·programming,0.0
9,Disc,.,0.0
9,rete,Disc,0.936862
9,rete,rete,0.063138
9,rete,·mathematics,0.0
9,rete,·is,0.0
9,rete,·essential,0.0
9,rete,·for,0.0
9,rete,·programming,0.0
9,rete,.,0.0
9,·mathematics,Disc,0.881254
9,·mathematics,rete,0.050069
9,·mathematics,·mathematics,0.068677
9,·mathematics,·is,0.0
9,·mathematics,·essential,0.0
9,·mathematics,·for,0.0
9,·mathematics,·programming,0.0
9,·mathematics,.,0.0
9,·is,Disc,0.799388
9,·is,rete,0.032595
9,·is,·mathematics,0.115549
9,·is,·is,0.052468
9,·is,·essential,0.0
9,·is,·for,0.0
9,·is,·programming,0.0
9,·is,.,0.0
